,"(10, 0)","(10, 5)","(10, 10)","(10, 15)","(10, 20)","(20, 0)","(20, 5)","(20, 10)","(20, 15)","(20, 20)","(30, 0)","(30, 5)","(30, 10)","(30, 15)","(30, 20)","(40, 0)","(40, 5)","(40, 10)","(40, 15)","(40, 20)","(50, 0)","(50, 5)","(50, 10)","(50, 15)","(50, 20)"
3.2,28.07,26.13,20.29,14.22,9.27,12.28,11.73,10.26,8.43,6.65,6.67,6.5,6.06,5.35,4.54,4.06,4,3.82,3.49,3.15,2.67,2.64,2.54,2.39,2.19
3.3,28.88,26.89,20.88,14.64,9.54,12.63,12.08,10.55,8.67,6.84,6.86,6.7,6.24,5.5,4.67,4.17,4.12,3.93,3.59,3.23,2.75,2.72,2.61,2.45,2.25
3.4,29.68,27.64,21.46,15.04,9.8,12.99,12.4,10.85,8.91,7.03,7.05,6.88,6.41,5.65,4.79,4.29,4.22,4.04,3.69,3.32,2.83,2.8,2.68,2.52,2.32
3.5,30.5,28.38,22.03,15.43,10.07,13.33,12.73,11.14,9.15,7.21,7.23,7.06,6.58,5.8,4.92,4.4,4.33,4.14,3.79,3.4,2.9,2.86,2.76,2.58,2.38
3.6,31.3,29.13,22.62,15.85,10.33,13.68,13.07,11.43,9.39,7.4,7.43,7.25,6.75,5.96,5.05,4.51,4.44,4.25,3.88,3.49,2.97,2.93,2.82,2.65,2.44
3.7,32.1,30.3,23.19,16.25,10.59,14.03,13.4,11.72,9.63,7.59,7.61,7.43,6.92,6.11,5.17,4.62,4.57,4.36,3.97,3.58,3.05,3.01,2.89,2.71,2.5
3.8,33,30.9,23.76,16.76,10.84,14.37,13.73,12.01,9.86,7.78,7.8,7.61,7.08,6.26,5.3,4.74,4.67,4.46,4.07,3.67,3.12,3.08,2.96,2.79,2.56
3.9,33.6,31.5,24.34,17.13,11.18,14.72,14.06,12.3,10.1,7.96,7.97,7.79,7.25,6.41,5.42,4.84,4.79,4.57,4.17,3.75,3.2,3.15,3.03,2.85,2.62
4,34.4,32.2,24.91,17.51,11.42,15.05,14.38,12.59,10.33,8.14,8.16,7.97,7.42,6.55,5.55,4.96,4.89,4.69,4.26,3.84,3.28,3.22,3.1,2.91,2.68
4.1,35.2,32.9,25.48,17.89,11.67,15.4,14.72,12.87,10.57,8.33,8.35,8.15,7.59,6.7,5.68,5.07,5,4.78,4.36,3.93,3.35,3.29,3.17,2.98,2.74
4.2,36,33.6,26.04,18.28,11.9,15.74,15.03,13.16,10.8,8.52,8.53,8.33,7.76,6.85,5.8,5.18,5.11,4.88,4.46,4,3.42,3.36,3.24,3.04,2.8
4.3,36.8,34.3,26.61,18.66,12.16,16.09,15.37,13.44,11.03,8.7,8.69,8.51,7.92,6.99,5.92,5.29,5.23,4.98,4.55,4.09,3.49,3.43,3.31,3.11,2.86
4.4,37.6,35,27.16,19.05,12.4,16.42,15.69,13.73,11.27,8.88,8.86,8.69,8.09,7.14,6.05,5.4,5.34,5.08,4.65,4.17,3.56,3.51,3.38,3.17,2.91
4.5,38.3,35.7,27.72,19.43,12.66,16.75,16.01,14,11.5,9.06,9.04,8.87,8.25,7.29,6.17,5.51,5.45,5.18,4.74,4.26,3.63,3.58,3.44,3.23,2.97
4.6,39.1,36.5,28.28,19.82,12.91,17.09,16.33,14.3,11.74,9.24,9.21,9.04,8.42,7.44,6.29,5.62,5.55,5.3,4.84,4.34,3.71,3.65,3.51,3.3,3.03
4.7,39.9,37.2,28.84,20.22,13.16,17.42,16.66,14.56,11.96,9.42,9.38,9.2,8.58,7.58,6.41,5.73,5.66,5.39,4.93,4.43,3.78,3.72,3.57,3.36,3.09
4.8,40.7,37.9,29.4,20.6,13.41,17.76,16.98,14.85,12.18,9.6,9.56,9.4,8.75,7.72,6.53,5.84,5.77,5.49,5.03,4.5,3.85,3.79,3.64,3.43,3.15
4.9,41.4,38.6,29.95,20.98,13.66,18.09,17.3,15.12,12.42,9.78,9.74,9.57,8.91,7.87,6.65,5.94,5.87,5.59,5.11,4.59,3.92,3.86,3.71,3.49,3.21
5,42.2,39.3,30.5,21.36,13.9,18.42,17.61,15.41,12.64,9.95,9.91,9.74,9.07,8.01,6.77,6.05,5.98,5.69,5.21,4.67,3.99,3.93,3.77,3.55,3.26
